,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.4_Expected Annual Damage 0,A.4_Expected Number of Deaths 0,A.4_Expected Annual Damage 1,A.4_Expected Number of Deaths 1,A.4_Expected Annual Damage 2,A.4_Expected Number of Deaths 2,A.4_Expected Annual Damage 3,A.4_Expected Number of Deaths 3,Total Expected Annual Damage,Total Expected Number of Deaths
3,124.0,253.01120700727063,10.0,0.8565549440115121,216.00309702238917,10.0,0.7040732099786489,275.44909277919726,1.5,0.6046490979529107,249.61470952999417,10.0,0.1587758570187789,231.6834206449818,1.0,0.68614812367214,4.5,1.5,2.5,18240278.843642235,0.015772207276638583,26892908.052406106,0.015772207276638583,23437717.81192772,0.015772207276638583,20595391.508514676,0.015772207276638583,89166296.21649073,0.06308882910655433
24,122.0,95.39043856672794,1.0,0.6981522956158445,70.36452914411394,1.5,0.9613399844486256,196.50986973452632,1.5,0.8941997874939659,205.8731677747929,1.5,0.15151312871871406,244.25995847217254,1.5,0.7943630773802824,4.5,4.5,3.5,12279787.030592348,0.010868556719715,12279787.030592348,0.010868556719715,13865304.566019975,0.010868556719715,12279787.030592348,0.010868556719715,50704665.65779702,0.04347422687886
33,41.0,330.0606240413329,1.5,0.5729417679691925,200.63257822094903,10.0,0.23353849145996275,217.87024619444415,1.5,0.4384126198290277,38.72589339966153,1.5,0.0563027590176156,162.0430524693544,10.0,0.0307022017895821,4.5,3.5,4.5,23498244.790316515,0.018225770891278168,26532245.2232231,0.018225770891278168,23498244.790316515,0.018225770891278168,34645091.8846111,0.018225770891278168,108173826.68846723,0.07290308356511267
37,105.0,103.46608512337437,1.5,0.4484923456224287,323.7303078734472,1.5,0.5805246193394941,57.84566969109861,1.5,0.888587053281247,315.94732068987616,10.0,0.1068548055383466,328.1626417840047,1.5,0.14342097054571298,1.5,3.5,2.5,34430612.04668197,0.01958310719091384,26367990.16295869,0.01958310719091384,30006980.56415253,0.01958310719091384,34430612.04668197,0.01958310719091384,125236194.82047516,0.07833242876365536
78,82.0,188.4705518451485,10.0,0.44327264234065705,157.10418966682576,1.5,0.5506831838647466,171.2902887690187,1.5,0.3392294475704085,193.17399525355012,1.5,0.150888424152398,177.40083340237084,1.5,0.4770785548820318,2.5,1.5,4.5,21406724.236320674,0.01394851277498363,24562505.24091601,0.01394851277498363,16659668.929059787,0.01394851277498363,16659668.929059787,0.01394851277498363,79288567.33535627,0.05579405109993452
86,105.0,322.81629742495466,1.5,0.4862607641898593,135.64548821850906,1.0,0.17652346234882596,127.17049435452631,1.5,0.309089998250737,125.81679524221028,10.0,0.044178693188585014,271.03330080741955,10.0,0.470896020581052,1.5,1.5,1.5,40250268.293871626,0.020708481302030332,40250268.293871626,0.020708481302030332,40250268.293871626,0.020708481302030332,35078929.66754635,0.020708481302030332,155829734.54916123,0.08283392520812133
101,54.0,118.38263851080369,1.0,0.6208448403730411,76.76401324767723,10.0,0.2425730578922873,306.4498866151528,1.0,0.3822337851853617,259.9519222715145,1.0,0.09313190288922384,254.0823944303722,10.0,0.31282142225596304,2.5,1.5,1.5,26547262.33580575,0.016777355674813338,30460861.87950429,0.016777355674813338,30460861.87950429,0.016777355674813338,20660265.27949697,0.016777355674813338,108129251.3743113,0.06710942269925335
106,23.0,92.1709318847718,1.0,0.5062974966175414,230.21507426105703,1.0,0.544654213122287,121.1769352727641,1.5,0.6710896609099715,249.1514119336001,1.0,0.08050072053208088,58.24719792331878,1.5,0.6535405614859995,1.5,3.5,3.5,41175235.99221606,0.02283947244676697,31533224.44945859,0.02283947244676697,31533224.44945859,0.02283947244676697,35885057.88011074,0.02283947244676697,140126742.771244,0.09135788978706788
124,51.0,270.98063224521593,1.5,0.8767963819644571,223.2054831496285,10.0,0.8805510487354992,138.77418355656073,10.0,0.7105164304201356,318.98659320519886,1.5,0.06787431434976744,255.91508475572846,1.0,0.7093459661789665,3.5,3.5,3.5,17839964.766252972,0.013204390983839845,17839964.766252972,0.013204390983839845,17839964.766252972,0.013204390983839845,20302020.4686716,0.013204390983839845,73821914.76743051,0.05281756393535938
135,28.0,123.23805495072813,1.5,0.9575188568302422,319.7038323705059,1.5,0.4380634066720884,98.5863258583181,10.0,0.3799570029925071,266.00251042138024,1.5,0.16967666446892735,161.7353544714879,1.0,0.3637749942675712,1.5,3.5,2.5,23160618.22418741,0.013400380155060973,17737092.58131726,0.013400380155060973,20184951.111664094,0.013400380155060973,23160618.22418741,0.013400380155060973,84243280.14135617,0.05360152062024389
