,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,5,2,4,6,4,1,10,1,6,10,7,5,8,2,0.0,37255203.23710208,0.0,10900296.776112994,53358573.6002109,0.00094910145604021,2943591.693002003,20299287.62732069,0.0004790177022382324,0.0,12586457.0,0.0,0.0,36676675.840294495,0.0,377300000.0,628.5712436287474,0.0,57724100.47715476,0.0,0.0,75545709.28696768,0.0,0.0,45725885.44780179,0.0,0.0,24937355.063092522,0.0,0.0,57329487.025122635,0.0,371400000.0,0.0,0.0,47133859.084739044,0.0,0.0,74666734.34702137,0.0,0.0,29376228.509263735,0.0,0.0,24414427.32772178,0.0,0.0,42684108.8203828,0.0,0.0,0.0
1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,7,7,7,8,1,5,3,2,6,9,1,6,1,1,0.0,32694901.094161935,0.0,0.0,73315450.27094865,0.0,0.0,28798397.130608946,0.0,0.0,12586457.0,0.0,0.0,40273672.383724004,0.0,625800000.0,0.0,0.0,70467370.98959583,0.0,0.0,102829073.77249548,0.0,0.0,28624738.492359173,0.0,0.0,22196715.963020403,0.0,0.0,30629490.3411989,0.0,710400000.0,0.0,0.0,89152624.21620318,0.0,0.0,63308273.364277504,0.0,0.0,29004227.825959537,0.0,0.0,10463006.351242736,0.0,0.0,31676126.234010328,0.0,461900000.0,0.0
2,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,3,5,9,8,9,7,6,5,3,3,10,8,7,2,5,2,0.0,53972506.18695759,0.0,0.0,89992006.20155807,0.0,0.0,28798397.130608946,0.0,0.0,20384338.0,0.0,87868724.30503294,27578229.96765524,0.007276885605565596,302400000.0,4134.377367350921,0.0,100862333.96227221,0.0,0.0,99203308.7435231,0.0,0.0,28624738.492359173,0.0,0.0,22541835.844735894,0.0,1680788.783493343,39226048.05564497,0.00018489562613770036,558500000.0,100.48959155367996,0.0,122126938.94461948,0.0,0.0,113062175.61573364,0.0,0.0,31660546.828064542,0.0,0.0,26111458.513263583,0.0,0.0,34890922.39892718,0.0,473900000.0,0.0
3,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,4,8,1,6,10,0,4,0,4,10,8,7,8,0,8,10,0.0,76299088.11882158,0.0,0.0,99525397.17141615,0.0,37337717.19743502,0.0,0.006113166381676414,0.0,16108916.0,0.0,63301212.545258306,0.0,0.005102817153863323,217800000.0,4988.648962169193,0.0,42777793.988470145,0.0,0.0,0.0,0.0,0.0,26403379.542306438,0.0,0.0,18659851.580135547,0.0,0.0,48463701.69719181,0.0,461900000.0,0.0,0.0,82156739.26560314,0.0,0.0,74666734.34702137,0.0,0.0,50575362.91069633,0.0,0.0,26665562.891951207,0.0,0.0,76117917.92166035,0.0,302400000.0,0.0
4,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,3,7,1,2,7,6,5,10,8,3,7,3,10,5,6,4,0.0,68139002.95605196,0.0,0.0,73315450.27094865,0.0,0.0,44215020.369581826,0.0,0.0,14261651.0,0.0,0.0,36676675.840294495,0.0,339000000.0,0.0,0.0,41364339.12745389,0.0,0.0,83557740.35028619,0.0,0.0,52174408.57580741,0.0,0.0,10694928.292887906,0.0,0.0,47641201.507942826,0.0,558500000.0,0.0,0.0,48744463.37933448,0.0,0.0,91951778.68557835,0.0,0.0,44303838.72336463,0.0,0.0,28524600.27851669,0.0,0.0,48301882.35989678,0.0,339000000.0,0.0
5,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,2,4,8,7,3,3,10,0,8,5,10,9,5,4,0.0,0.0,0.0,0.0,81277411.11097889,0.0,3045230.3251880654,24198032.45136138,0.0015261656080258566,0.0,16108916.0,0.0,0.0,53114002.716882035,0.0,340700000.0,47.441529515742005,0.0,37255203.23710208,0.0,0.0,95925453.90579535,0.0,0.0,48904262.419328034,0.0,0.0,14482308.220976796,0.0,0.0,49627296.61516639,0.0,377300000.0,0.0,0.0,51173828.13733573,0.0,0.0,79195425.39950079,0.0,0.0,0.0,0.0,0.0,31549788.415040612,0.0,0.0,53424558.2277506,0.0,217800000.0,0.0
6,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,3,6,7,2,0,9,7,5,6,4,5,1,7,9,6,10,0.0,60717312.84309486,0.0,199159201.43207303,0.0,0.01574694372153339,0.0,28798397.130608946,0.0,0.0,11068771.0,0.0,0.0,53114002.716882035,0.0,217800000.0,8394.933859848468,0.0,83358432.99969438,0.0,0.0,89992006.20155807,0.0,0.0,37142787.35178893,0.0,0.0,7477106.094898217,0.0,0.0,54494401.124904625,0.0,423600000.0,0.0,0.0,57661610.29779627,0.0,0.0,99203308.7435231,0.0,0.0,38209799.53048675,0.0,0.0,17447113.88365696,0.0,0.0,96301480.20693891,0.0,679700000.0,0.0
7,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,3,1,0,10,8,4,7,5,7,9,8,3,2,0,9,6,0.0,32694901.094161935,0.0,0.0,81277411.11097889,0.0,0.0,28798397.130608946,0.0,0.0,16108916.0,0.0,46052728.34493333,0.0,0.003732528932630725,340700000.0,2211.490957186007,0.0,0.0,0.0,0.0,69814007.46295644,0.0,0.0,40481938.25380608,0.0,0.0,11060383.143676745,0.0,0.0,53114002.716882035,0.0,710400000.0,0.0,0.0,98357230.12399173,0.0,0.0,109724356.18273482,0.0,0.0,60775757.3657541,0.0,0.0,10610661.21783672,0.0,0.0,54494401.124904625,0.0,121200000.0,0.0
8,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,10,10,4,3,6,4,10,6,6,7,5,5,2,7,8,0.0,95107331.23784721,0.0,11828456.055521289,47842699.56310011,0.0030127606847760915,0.0,44215020.369581826,0.0,0.0,14261651.0,0.0,0.0,27578229.96765524,0.0,595100000.0,234.08590168415975,0.0,133087400.14673924,0.0,0.0,73049543.86877511,0.0,0.0,43937562.97993757,0.0,0.0,14003786.842357028,0.0,0.0,47265376.32848695,0.0,369700000.0,0.0,0.0,93693445.25059304,0.0,0.0,72199611.83370405,0.0,0.0,53751394.07594865,0.0,0.0,16565592.143532231,0.0,0.0,65576349.11267272,0.0,236500000.0,0.0
9,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,4,2,6,1,9,10,1,0,7,5,7,8,10,10,0,7,0.0,37255203.23710208,0.0,0.0,89992006.20155807,0.0,11511541.980840828,0.0,0.0018697459600606487,0.0,14261651.0,0.0,0.0,58176627.77592012,0.0,454300000.0,444.7950358462215,0.0,64937734.31822946,0.0,0.0,134668049.73480532,0.0,0.0,34221561.73832255,0.0,0.0,20380385.71150916,0.0,0.0,0.0,0.0,377300000.0,0.0,0.0,42777793.988470145,0.0,0.0,72415185.47056109,0.0,0.0,36434631.25356607,0.0,0.0,33742793.97355214,0.0,0.0,61841708.14722436,0.0,121200000.0,0.0
