,3691,2720,4325,1781
0_RfR 0,0.0,0.0,0.0,0.0
0_RfR 1,0.0,1.0,0.0,0.0
0_RfR 2,0.0,0.0,0.0,0.0
1_RfR 0,0.0,0.0,0.0,0.0
1_RfR 1,0.0,0.0,0.0,0.0
1_RfR 2,0.0,0.0,0.0,0.0
2_RfR 0,0.0,1.0,0.0,0.0
2_RfR 1,0.0,0.0,1.0,0.0
2_RfR 2,0.0,1.0,1.0,0.0
3_RfR 0,0.0,1.0,0.0,1.0
3_RfR 1,0.0,1.0,1.0,1.0
3_RfR 2,0.0,0.0,0.0,0.0
4_RfR 0,0.0,0.0,0.0,1.0
4_RfR 1,0.0,0.0,0.0,1.0
4_RfR 2,0.0,0.0,0.0,0.0
EWS_DaysToThreat,3.0,3.0,2.0,1.0
A.1_DikeIncrease 0,5.0,1.0,2.0,0.0
A.1_DikeIncrease 1,2.0,2.0,1.0,2.0
A.1_DikeIncrease 2,5.0,1.0,1.0,5.0
A.2_DikeIncrease 0,2.0,0.0,1.0,0.0
A.2_DikeIncrease 1,1.0,5.0,1.0,6.0
A.2_DikeIncrease 2,0.0,7.0,4.0,6.0
A.3_DikeIncrease 0,2.0,10.0,1.0,4.0
A.3_DikeIncrease 1,5.0,6.0,1.0,7.0
A.3_DikeIncrease 2,2.0,3.0,0.0,0.0
A.4_DikeIncrease 0,7.0,10.0,10.0,10.0
A.4_DikeIncrease 1,0.0,2.0,2.0,6.0
A.4_DikeIncrease 2,2.0,1.0,6.0,5.0
A.5_DikeIncrease 0,6.0,7.0,3.0,1.0
A.5_DikeIncrease 1,4.0,7.0,5.0,1.0
A.5_DikeIncrease 2,7.0,6.0,1.0,1.0
A.1_Expected Annual Damage 0,0.0,0.0,0.0,0.0
A.1_Dike Investment Costs 0,53972506.18695759,32694901.09416193,37255203.23710208,0.0
A.1_Expected Number of Deaths 0,0.0,0.0,0.0,0.0
A.2_Expected Annual Damage 0,84507454.21956068,4721261.084594343,62474608.78353514,10879460.697215537
A.2_Dike Investment Costs 0,42818415.6714978,0.0,38245121.951764055,0.0
A.2_Expected Number of Deaths 0,0.007008108916699979,0.0005361362352094606,0.006319526037224615,0.003703495059392951
A.3_Expected Annual Damage 0,0.0,0.0,0.0,0.0
A.3_Dike Investment Costs 0,22167818.198803756,44215020.36958183,20299287.62732069,26403379.54230644
A.3_Expected Number of Deaths 0,0.0,0.0,0.0,0.0
A.4_Expected Annual Damage 0,0.0,0.0,0.0,0.0
A.4_Dike Investment Costs 0,14261651.781499248,20384338.443195168,20384338.443195168,20384338.443195168
A.4_Expected Number of Deaths 0,0.0,0.0,0.0,0.0
A.5_Expected Annual Damage 0,0.0,0.0,0.0,30777370.37740083
A.5_Dike Investment Costs 0,40273672.383724,44193513.54513965,30351526.042379986,25037214.0
